Go_Id,Category,Term
GO:0000002,Biological_process,mitochondrial genome maintenance
GO:0000003,Biological_process,obsolete reproduction
GO:0000022,Biological_process,mitotic spindle elongation
GO:0000027,Biological_process,ribosomal large subunit assembly
GO:0000028,Biological_process,ribosomal small subunit assembly
GO:0000038,Biological_process,very long-chain fatty acid metabolic process
GO:0000041,Biological_process,transition metal ion transport
GO:0000045,Biological_process,autophagosome assembly
GO:0000050,Biological_process,urea cycle
GO:0000054,Biological_process,ribosomal subunit export from nucleus
GO:0000055,Biological_process,ribosomal large subunit export from nucleus
GO:0000056,Biological_process,ribosomal small subunit export from nucleus
GO:0000070,Biological_process,mitotic sister chromatid segregation
GO:0000076,Biological_process,DNA replication checkpoint signaling
GO:0000077,Biological_process,DNA damage checkpoint signaling
GO:0000079,Biological_process,regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000082,Biological_process,G1/S transition of mitotic cell cycle
GO:0000086,Biological_process,G2/M transition of mitotic cell cycle
GO:0000103,Biological_process,sulfate assimilation
GO:0000122,Biological_process,negative regulation of transcription by RNA polymerase II
GO:0000132,Biological_process,establishment of mitotic spindle orientation
GO:0000154,Biological_process,rRNA modification
GO:0000160,Biological_process,phosphorelay signal transduction system
GO:0000165,Biological_process,MAPK cascade
GO:0000183,Biological_process,rDNA heterochromatin formation
GO:0000184,Biological_process,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
GO:0000209,Biological_process,protein polyubiquitination
GO:0000212,Biological_process,meiotic spindle organization
GO:0000226,Biological_process,microtubule cytoskeleton organization
GO:0000244,Biological_process,spliceosomal tri-snRNP complex assembly
GO:0000245,Biological_process,spliceosomal complex assembly
GO:0000266,Biological_process,mitochondrial fission
GO:0000271,Biological_process,polysaccharide biosynthetic process
GO:0000272,Biological_process,polysaccharide catabolic process
GO:0000278,Biological_process,mitotic cell cycle
GO:0000280,Biological_process,nuclear division
GO:0000281,Biological_process,mitotic cytokinesis
GO:0000288,Biological_process,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
GO:0000289,Biological_process,nuclear-transcribed mRNA poly(A) tail shortening
GO:0000290,Biological_process,deadenylation-dependent decapping of nuclear-transcribed mRNA
