ID,Name,Evidence
WBPhenotype:0000000,chromosome instability,rnai
WBPhenotype:0000001,body posture variant,allele
WBPhenotype:0000002,kinker,rnai
WBPhenotype:0000004,constitutive egg laying,allele
WBPhenotype:0000005,hyperactive egg laying,allele
WBPhenotype:0000006,egg laying defective,allele
WBPhenotype:0000007,bag of worms,allele
WBPhenotype:0000010,drug hypersensitive,allele
WBPhenotype:0000011,drug resistant,allele
WBPhenotype:0000012,dauer constitutive,rnai
WBPhenotype:0000013,dauer defective,allele
WBPhenotype:0000014,cord commissures variant,rnai
WBPhenotype:0000015,positive chemotaxis defective,allele
WBPhenotype:0000016,aldicarb hypersensitive,allele
WBPhenotype:0000017,aldicarb resistant,allele
WBPhenotype:0000018,pharyngeal pumping increased,rnai
WBPhenotype:0000019,pharyngeal pumping reduced,rnai
WBPhenotype:0000020,pharyngeal pumping irregular,allele
WBPhenotype:0000021,squat,rnai
WBPhenotype:0000022,long,allele
WBPhenotype:0000023,serotonin hypersensitive,allele
WBPhenotype:0000024,serotonin resistant,allele
WBPhenotype:0000025,blistered,allele
WBPhenotype:0000026,lipid depleted,allele
WBPhenotype:0000027,organism metabolism processing variant,allele
WBPhenotype:0000028,RNA processing variant,allele
WBPhenotype:0000029,systemic RNAi variant,allele
WBPhenotype:0000030,growth variant,rnai
WBPhenotype:0000031,slow growth,rnai
WBPhenotype:0000032,sick,rnai
WBPhenotype:0000033,developmental timing variant,rnai
WBPhenotype:0000034,embryonic polarity variant,rnai
WBPhenotype:0000035,larval body morphology variant,allele
WBPhenotype:0000036,adult body morphology variant,allele
WBPhenotype:0000037,egg morphology variant,rnai
WBPhenotype:0000038,exploded through vulva,allele
WBPhenotype:0000039,life span phenotype,rnai
WBPhenotype:0000040,one cell arrest early emb,rnai
WBPhenotype:0000041,osmotic integrity variant,allele
WBPhenotype:0000042,slow embryonic development,rnai
WBPhenotype:0000043,general pace of development variant,allele
WBPhenotype:0000044,egg size defective early emb,allele
WBPhenotype:0000045,developmental delay postembryonic,rnai
WBPhenotype:0000046,pace of P lineage defective early emb,rnai
WBPhenotype:0000047,gastrulation variant,allele
WBPhenotype:0000048,hatching variant,rnai
WBPhenotype:0000049,postembryonic development variant,allele
WBPhenotype:0000050,embryonic lethal,allele
WBPhenotype:0000051,embryonic terminal arrest variable emb,rnai
WBPhenotype:0000052,maternal effect lethal emb,allele
WBPhenotype:0000053,paralyzed arrested elongation two fold,allele
WBPhenotype:0000054,larval lethal,rnai
WBPhenotype:0000055,early larval arrest,allele
WBPhenotype:0000056,late larval arrest,rnai
WBPhenotype:0000057,early larval lethal,rnai
WBPhenotype:0000058,late larval lethal,rnai
WBPhenotype:0000059,larval arrest,allele
WBPhenotype:0000060,adult lethal,allele
WBPhenotype:0000061,extended life span,allele
WBPhenotype:0000062,lethal,allele
WBPhenotype:0000063,terminal arrest variable,rnai
WBPhenotype:0000064,sexually dimorphic lethality,rnai
WBPhenotype:0000065,X0 lethal,rnai
WBPhenotype:0000066,XX lethal,allele
WBPhenotype:0000067,organism stress response variant,rnai
WBPhenotype:0000068,cellular oxidative stress response variant,allele
WBPhenotype:0000069,progeny variant,allele
WBPhenotype:0000070,male tail morphology variant,rnai
WBPhenotype:0000071,head morphology variant,rnai
WBPhenotype:0000072,body morphology variant,rnai
WBPhenotype:0000073,tail morphology variant,rnai
