pm_id,issn,essn,last_author,pmc_id,title,source,impact_factor
631425,0012-1606,,White JG,,Cell cycling and DNA replication in a mutant blocked in cell division in the nematode Caenorhabditis elegans.,Dev Biol,3.148
4366476,0016-6731,,Brenner S,PMC1213120,The genetics of Caenorhabditis elegans.,Genetics,4.402
988846,0012-1606,,Russell RL,,The life cycle of the nematode Caenorhabditis elegans. II. A simplified method for mutant characterization.,Dev Biol,3.148
730048,0016-6731,,Russell RL,PMC1213887,Osmotic avoidance defective mutants of the nematode Caenorhabditis elegans.,Genetics,4.402
19308247,0022-300X,,Dusenbery DB,PMC2620198,Chemotactic responses of male Caenorhabditis elegans.,J Nematol,1.481
1132687,0016-6731,,Russell RL,PMC1213328,Chemotaxis-defective mutants of the nematode Caenorhabditis elegans.,Genetics,4.402
4845659,0028-0836,,Thomson JN,,Temperature-sensitive mutation affecting myofilament assembly in Caenorhabditis elegans.,Nature,69.504
719748,0092-8674,,Epstein HF,,Coordinate synthesis of two myosins in wild-type and mutant nematode muscle during larval development.,Cell,66.85
140764,0092-8674,,Epstein HF,,Myosin and paramyosin of Caenorhabditis elegans: biochemical and structural properties of wild-type and mutant proteins.,Cell,66.85
1060088,0027-8424,1091-6490,Russell RL,PMC433138,Normal and mutant thermotaxis in the nematode Caenorhabditis elegans.,Proc Natl Acad Sci U S A,12.779
1269921,0016-6731,,Brenner S,PMC1213508,Chromosome rearrangements in Caenorhabditis elegans.,Genetics,4.402
631558,0016-6731,,Herman RK,PMC1213790,Crossover suppressors and balanced recessive lethals in Caenorhabditis elegans.,Genetics,4.402
573721,0016-6731,,Kari CK,PMC1213968,Duplications in Caenorhabditis elegans.,Genetics,4.402
4869093,0036-8075,,Rothstein M,,Sterol requirement for reproduction of a free-living nematode.,Science,63.714
834177,0026-8925,,Hirsh D,,Roller mutants of the nematode Caenorhabditis elegans.,Mol Gen Genet,
560330,0016-6731,,Brenner S,PMC1213677,Mutations causing transformation of sexual phenotype in the nematode Caenorhabditis elegans.,Genetics,4.402
17248881,0016-6731,,Brenner S,PMC1213932,Nondisjunction Mutants of the Nematode CAENORHABDITIS ELEGANS.,Genetics,4.402
986968,0012-1606,,Hirsh D,,Development of the male reproductive system and sexual transformation in the nematode Caenorhabditis elegans.,Dev Biol,3.148
